id,pillar,framework,status,name_en,name_zu,unit,latest_value,baseline_value,trend,why_en,why_zu,source_en,source_zu,frequency_en,frequency_zu,caveat_en,caveat_zu
debris_removed,flood,PMF,core,Debris removed from the river,,tons,412,0,up,Removing solid waste and silt restores the channel so stormwater flows freely and flooding is reduced in Alexandra.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
strategic_rehab,flood,PMF,core,Riverbank strategically rehabilitated,,ha,18.5,0,up,Rehabilitated banks hold soil in place and slow floodwater during heavy rain.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
streamflow,flood,EMP,proposed,Streamflow and water level,,m3/s,3.2,3.8,down,Tracking flow helps show how a cleared and restored channel behaves during storms.,,SUNCASA EMP,,Monthly,,Proposed indicator to be confirmed during Inception.,
flood_extent,flood,EMP,proposed,Flood extent reduction,,ha,26,45,down,Comparing flood extents before and after works shows real protection for homes.,,SUNCASA EMP,,Per event,,Proposed indicator to be confirmed during Inception.,
trees_planted,heat,PMF,core,Urban trees planted,,trees,7450,0,up,Trees shade streets and homes and can lower local temperatures during heat waves.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
survival_rate,heat,EMP,core,Tree and plant survival rate,,percent,86,0,flat,A high survival rate means the cooling and greening benefits will last.,,SUNCASA EMP,,Biannual,,Illustrative sample pending the SUNCASA data catalogue.,
vegetated_area,heat,EMP,proposed,Vegetated versus bare area,,ha,64,41,up,More vegetated ground absorbs heat less than bare soil and hard surfaces.,,SUNCASA EMP,,Annual,,Proposed indicator to be confirmed during Inception.,
trees_to_homes,heat,PMF,core,Trees distributed to homes,,trees,2100,0,up,Trees given to households extend cooling and greening into private yards.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
heat_island,heat,EMP,proposed,Heat island change,,degrees C,-1.4,0,down,Measuring surface temperature change shows whether greening is cooling the area.,,SUNCASA EMP,,Annual,,Proposed indicator to be confirmed during Inception.,
riparian_restored,environment,PMF,core,Riparian corridor restored,,ha,22.3,0,up,A healthy riparian corridor filters water and supports wildlife along the river.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
species_planted,environment,PMF,core,Unique species planted,,species,37,0,up,A diverse mix of species makes the restored river more resilient.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
water_quality,environment,EMP,proposed,Water quality index,,index,62,48,up,Cleaner water is safer for people downstream and a sign of a recovering river.,,SUNCASA EMP,,Monthly,,Proposed indicator to be confirmed during Inception.,
soil_quality,environment,EMP,proposed,Soil quality monitoring,,index,58,50,up,Healthier soil holds water and supports the plants that stabilise the banks.,,SUNCASA EMP,,Biannual,,Proposed indicator to be confirmed during Inception.,
women_participants,socio,PMF,core,Women in restoration activities,,people,148,0,up,Women led restoration work advances gender equality and shares the benefits fairly.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
jobs_created,socio,PMF,core,Jobs created,,jobs,236,0,up,Fixed term and temporary jobs bring income to Alexandra households.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
gesi_baseline,socio,PMF,proposed,Gender equity and social inclusion,,index,54,42,up,Tracking inclusion shows whether benefits reach women and vulnerable groups.,,SUNCASA PMF,,Annual,,Proposed indicator to be confirmed during Inception.,
homes_reached,socio,PMF,core,Households reached with trees,,households,1650,0,up,Reaching more homes spreads the social and cooling benefits across the community.,,SUNCASA PMF,,Quarterly,,Illustrative sample pending the SUNCASA data catalogue.,
